"Référence","Désignation","Marque","Quantite","Prix d'Achat","Prix Gros","Prix Détail","UM","Rayon"
"CR15X40"," CROISILLANT VOLONT","CHINA","5.00","585.00","800.00","819.00","",""
"CR16X40"," CROISILLANT VOLONT","CHINA","5.00","585.00","800.00","819.00","",""
"7700519230"," PIPE DURITE CHAUFAGE LOGAN 1.4 LOCAL","SIPA-BH","35.00","135.00","200.00","189.00","",""
"4310.76"," REGLAGE MACHOIR EXP R19 9861120825","FTB","7.00","1,300.00","1,600.00","1,820.00","",""
"7703800107 /8200651172"," ROULEMENT TASSEAU CLIO2 KANGO SYMBOL","TAIBA CHINA","20.00","575.00","700.00","805.00","",""
"R16603"," ROULMON 206 207 KIT","EVENUS CHINA","1.00","2,900.00","2,900.00","4,060.00","",""
"DG264/1092421/1092401"," ROULMONT BAGUE VOLANT METAL REN/PGT 1902401","CHINA","20.00","600.00","800.00","840.00","",""
".DG343"," ROULMONT BAGUE VOLANT REN/PGT TT","CHINA","7.00","500.00","650.00","700.00","",""
"DG343"," ROULMONT BAGUE VOLANT REN/PGT TT","TAIBA CHINA","20.00","550.00","700.00","770.00","",""
"SLR43004/7701205756"," ROUSSOUR MACHOIRE FREIN LOGAN I KIT","CAFT","1.00","650.00","800.00","910.00","",""
"6001549989"," SILENT BLOC AR LOGANE 8200284912","CHINA","6.00","1,150.00","1,300.00","1,610.00","",""
"7700436014/4001472"," SILENT BLOC BARA INT CLIO II KANGOO","TAIBA CHINA","40.00","145.00","200.00","203.00","",""
"7700799404"," SILENT BLOC BARA KANGOO CLIO II TURKEY","TURKEY","1.00","400.00","500.00","560.00","",""
"6001549311"," SILENT BLOC BARA STABIL LOGAN STEPWAY INTERIEUR","TAIBA CHINA","40.00","135.00","200.00","189.00","",""
"0608268700"," SILENT BLOC BARRE INT R4 GTL PM","TAIBA CHINA","30.00","70.00","100.00","98.00","",""
".7700770307"," SUPPORT BOITE EXPRESS 1.6 SUPER 5 PLUSSE +","SIPA-BH","1.00","800.00","1,000.00","1,120.00","",""
"7700805123"," SUPPORT MOTEUR GM DR EXPRESS 1.9D","CHINA","1.00","3,400.00","3,400.00","4,760.00","",""
"7700802927"," SUPPORT MOTEUR R19 1.9 DR","IPA-BH","1.00","1,800.00","2,000.00","2,520.00","",""
"7700755531"," SUPPORT MOTEUR SUPER 5","SIPA-BH","1.00","1,750.00","2,100.00","2,450.00","",""
"AM207C","AMORTISSEUR DE  MALL 207 CHINA","SEN-EX CHAINA","2.00","600.00","850.00","840.00","",""
"AMAA","AMORTISSEUR DE  MALL ATOS AM","TURKEY","3.00","690.00","850.00","966.00","",""
"AMC3","AMORTISSEUR DE  MALL CLIO III","TURKEY","2.00","700.00","850.00","980.00","",""
"AMC4","AMORTISSEUR DE  MALL CLIO IV","SEN-EX CHAINA","2.00","700.00","850.00","980.00","",""
"AMI10","AMORTISSEUR DE  MALL I10 TURKEY","TURKEY","4.00","620.00","850.00","868.00","",""
"6R6827550A","AMORTISSEUR DE  MALL POLO","SEN-EX CHAINA","2.00","680.00","850.00","952.00","",""
"APE","AXE DE PORTE EXP NM 405","SEN-EX CHAINA","16.00","650.00","800.00","910.00","",""
"DK 5040","AXE TREE AR MASTER III","TURKEY","1.00","1,100.00","1,300.00","1,540.00","",""
"RN14676","BIELLE SUSPONTION CLIO III CLIO IV ROTLAND TURKEY 546180009R","TURKEY","2.00","1,700.00","2,000.00","2,380.00","",""
"7700110770","BOUCHON  DHUILE CLIO II DTI  S.JOURJE","TURKEY","15.00","300.00","350.00","420.00","",""
"7701066086","BOUCHON  DHUILE CLIO III S.JOURJE","TURKEY","7.00","400.00","500.00","560.00","",""
"8200096805","BOUCHON  DHUILE KANGOO TURKY 7700110770","TURKEY","6.00","350.00","450.00","490.00","",""
"7700805031","BOUCHON  VASE D EOU EXPRESS","CHINA","5.00","80.00","150.00","112.00","",""
"7701209115","BOUCHON FLOUTEUR ESS CLIO","TURKEY","5.00","600.00","800.00","770.00","",""
"7701207449","BOUCHON FLOUTEUR ESS SYMBOL","TURKEY","5.00","550.00","700.00","770.00","",""
"8200048024","BOUCHON VASE D EOU KANGOO","TURKEY","3.00","300.00","450.00","420.00","",""
"EC739203 2150.AV","CABLE EMBRAYAGE BOXER JUMPER  LONG 2.5D 1.9D","TAIBA CHINA","2.00","1,185.00","1,500.00","1,659.00","",""
"PI-2150.AV","CABLE EMBRAYAGE BOXER JUMPER  LONG 2.5D 1.9D","CF LOKAL","2.00","770.00","1,000.00","1,078.00","",""
"PI-E0016M","CABLE EMBRAYAGE CLIO SYMBOL 1.4 8200730170/41825","CF LOKAL","5.00","550.00","700.00","770.00","",""
"PI-E0015M","CABLE EMBRAYAGE EXPRESS 1.9D 6006004557","CF LOKAL","5.00","680.00","850.00","952.00","",""
"PI-E0011M","CABLE EMBRAYAGE EXPRESS R9 ESS 7700761088","CF LOKAL","10.00","530.00","650.00","742.00","",""
"PI-E0013M","CABLE EMBRAYAGE KANGOO CLIO 7700417050","CF LOKAL","5.00","810.00","1,000.00","1,134.00","",""
"PI-E0019M","CABLE EMBRAYAGE LOGANE 1.4 1.6 24372810312/6001546867","CF LOKAL","1.00","630.00","800.00","882.00","",""
"PI-E0006M","CABLE EMBRAYAGE MEGANE 1.9D 7700843206","CF LOKAL","2.00","810.00","1,000.00","1,134.00","",""
"PI-EA0033","CABLE EMBRAYAGE PARTNER XSARA 2150.Z6","CF LOKAL","1.00","720.00","900.00","1,008.00","",""
"PI-EA0003","CABLE EMBRAYAGE PARTNERNM 2150.CY 1609995780","CF LOKAL","1.00","2,950.00","3,700.00","4,130.00","",""
".7701464165","CABLE MARCHE ARR EXP","CHINA","20.00","70.00","100.00","98.00","",""
"7701464165","CABLE MARCHE ARR EXP","TAIBA CHINA","240.00","75.00","100.00","105.00","",""
"511800537R","CACHE PARCHOC MASTER III","TURKEY","6.00","300.00","350.00","420.00","",""
"CPE","CALLE DE PLAQUETTE EXP","SABAA","40.00","145.00","200.00","203.00","",""
"CPR19","CALLE DE PLAQUETTE R19 505","CHINA","17.00","150.00","200.00","210.00","",""
"MCSMA6-92","CALLE DE PLAQUETTES PEUGEOT NM 4427.C5 JX 410832774R","TURKEY","12.00","200.00","250.00","280.00","",""
"7700744008","CIRCLIPS BOITE CLIO II","TURKEY","5.00","300.00","350.00","420.00","",""
"7700853466","CIRCLIPS BOITE CLIO II","TURKEY","5.00","200.00","250.00","280.00","",""
"681722712R","COMODO PHAR LOGAN SYMBOL 2013 NM ANT AV+AR","CAFT","4.00","1,650.00","2,000.00","2,310.00","",""
"8200498970","COUVERT RETREVISEUR LOGAN","LOT","3.00","450.00","600.00","630.00","",""
"7700107829","DURIT RAD MEGAN CLIO II TURKEY","TURKEY","1.00","850.00","850.00","1,190.00","",""
"7700817724","GACHETTE MALLE  CLIO CLASSIC LOGAN INF","SEN-EX CHAINA","1.00","750.00","900.00","1,050.00","",""
"0510572","GACHETTE PORTE AR GH LOGAN SANDERO I 2007-2013","SEN-EX CHAINA","2.00","1,400.00","1,600.00","1,960.00","",""
"EGK.164","GACHETTE PORTE KANGOO DR","TURKEY","2.00","1,500.00","1,700.00","2,100.00","",""
"8200408155","GLISSEUR CHAIN POMPE HOIL 1.9","TURKEY","1.00","250.00","300.00","350.00","",""
"7703067135","GOUPILLES CARDON TRAFIC ET  AXE PORTER 4","TAIBA CHINA","40.00","45.00","60.00","63.00","",""
"162366S/7700838242","GUIDE CARREAU RENAULT","TAIBA CHINA","60.00","40.00","50.00","56.00","",""
"8200355344","JAUGE D HUILE CLIO III 1.5 DCI","TURKEY","9.00","600.00","750.00","840.00","",""
"8200722794","JAUGE D HUILE CLIO III 1.5 DCI MITAL","TURKEY","9.00","700.00","850.00","980.00","",""
"9811687980","JOINT  MEMBRANE PURETECH RENIFLEUR 301 208 ESS","TAIBA CHINA","20.00","800.00","1,000.00","1,120.00","",""
"8200068583 /8200068566","JOINT BOITIER PAPILLON 1.4 1.6 16V","TAIBA CHINA","6.00","385.00","500.00","539.00","",""
"7701206096","JOINT BOUCHON FLOTEUR BLEU","TAIBA CHINA","5.00","195.00","250.00","168.00","",""
"6025306723","JOINT BOUCHON FLOTEUR NOIR","TAIBA CHINA","5.00","185.00","250.00","168.00","",""
"7701053992","JOINT COLLECTEUR ADMI 1.9D KANGOO","TAIBA CHINA","6.00","400.00","550.00","560.00","",""
"7701053994/7701035994","JOINT COLLECTEUR ADMI 1.9D KANGOO","TAIBA CHINA","28.00","305.00","400.00","427.00","",""
"0361.N3","JOINT COUPELLE PLASTIQUE CILLEC ADMISSION 1.6 HDI 8 PCS","TAIBA CHINA","8.00","455.00","600.00","637.00","",""
"8200117602","JOINT DE BOITE 1.9D","TAIBA CHINA","20.00","300.00","400.00","420.00","",""
"7701473007/140357308R","JOINT DE COLLECTEUR 1.2 16V","TAIBA CHINA","7.00","450.00","600.00","630.00","",""
"7701471932","JOINT DE COLLECTEUR 1.4 ESS","PMH TURKEY","30.00","475.00","600.00","686.00","",""
"7701043957","JOINT DE COLLECTEUR KANGOO 1.9D","TAIBA CHINA","10.00","650.00","850.00","910.00","",""
"7701208521","JOINT DE PIPE CHAUPHAGE KANGOO DCI KS2569H","TAIBA CHINA","95.00","140.00","200.00","196.00","",""
"8200267272","JOINT DE THERMOSTAT CLIO 1.4 ESS","TAIBA CHINA","60.00","90.00","120.00","133.00","",""
".8200070454","JOINT ECHAPMONT CLASSIQUE GLASSEY","TAIBA CHINA","60.00","285.00","350.00","399.00","",""
"2011900","JOINT ECHAPMONT CLIO III  GLASSEY CHINA","SEN-EX CHAINA","10.00","285.00","350.00","252.00","",""
"210075 KIT LISSE","JOINT ECHAPMONT EXPRESS GLASSEY KIT","TAIBA CHINA","10.00","440.00","550.00","616.00","",""
"8200035310","JOINT ECHAPMONT EXPRESS LOGANE GLASSEY","TAIBA CHINA","39.00","285.00","350.00","399.00","",""
"7701473164","JOINT FAISSEAU BOUGIE 1.2 16V","CHINA","21.00","550.00","700.00","770.00","",""
"7701475118","JOINT FILTRE A HUILE 1.5 DCI","TAIBA CHINA","28.00","400.00","550.00","560.00","",""
"7701047579","JOINT PAPILLON 1.4 ESS","TAIBA CHINA","21.00","215.00","350.00","301.00","",""
"CZY13/356546J","JOINT POMPE VIDE 206 306 PARTNER OKKS KIT","LOXER GERMANY","1.00","350.00","450.00","490.00","",""
"266999165-30307553","JOINT PORTE FILTRE MOT 1.4","TAIBA CHINA","23.00","150.00","200.00","210.00","",""
"7701051538/7700736647","JOINT REFROIDESSEUR 1.5 DCI NOIR","TAIBA CHINA","10.00","190.00","250.00","266.00","",""
"7701473629","JOINT REFROIDESSEUR KANGOO III 1.5 DCI NM 3PCS KIT","TAIBA CHINA","10.00","415.00","550.00","900.00","",""
"3121.27/26","JOINT SPIE CARDON 405 PARTNER KIT","TAIBA CHINA","15.00","450.00","600.00","630.00","",""
"7703065274","JOINT TORIC RENIFLEUR 1.9D","TAIBA CHINA","15.00","50.00","70.00","70.00","",""
"C70767","JOIT SOUFFLET TREE DE FRAIN","TAIBA CHINA","20.00","66.00","100.00","92.40","",""
"7700103169","LEVIER DE VETESSE","TAIBA CHINA","19.00","950.00","1,200.00","1,330.00","",""
"7701465769","LEVIER DE VETESSE EXPRESS","TAIBA CHINA","19.00","1,100.00","1,350.00","1,540.00","",""
".7701468487","NICESSAIRE EMBRAYAGE EXPRESS TURKEY","TURKEY","6.00","370.00","500.00","518.00","",""
